CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;14/07/2021;6;0.058;R
ES0031300000000001EX;14/07/2021;7;0.112;R
ES0031300000000001EX;14/07/2021;8;0.076;R
ES0031300000000001EX;14/07/2021;9;0.155;R
ES0031300000000001EX;14/07/2021;10;0.235;R
ES0031300000000001EX;14/07/2021;11;0.09;R
ES0031300000000001EX;14/07/2021;12;0.074;R
ES0031300000000001EX;14/07/2021;13;0.059;R
ES0031300000000001EX;14/07/2021;14;0.226;R
ES0031300000000001EX;14/07/2021;15;0.283;R
ES0031300000000001EX;14/07/2021;16;0.075;R
ES0031300000000001EX;14/07/2021;17;0.074;R
ES0031300000000001EX;14/07/2021;18;0.083;R
ES0031300000000001EX;14/07/2021;19;0.081;R
ES0031300000000001EX;14/07/2021;20;0.079;R
ES0031300000000001EX;14/07/2021;21;0.078;R
ES0031300000000001EX;14/07/2021;22;0.151;R
ES0031300000000001EX;14/07/2021;23;0.241;R
ES0031300000000001EX;14/07/2021;24;0.223;R
ES0031300000000001EX;15/07/2021;1;0.068;R
ES0031300000000001EX;15/07/2021;2;0.082;R
ES0031300000000001EX;15/07/2021;3;0.5;R
ES0031300000000001EX;15/07/2021;4;0.58;R
ES0031300000000001EX;15/07/2021;5;0.057;R
ES0031300000000001EX;15/07/2021;6;0.057;R
ES0031300000000001EX;15/07/2021;7;0.059;R
ES0031300000000001EX;15/07/2021;8;0.06;R
ES0031300000000001EX;15/07/2021;9;0.166;R
ES0031300000000001EX;15/07/2021;10;0.308;R
ES0031300000000001EX;15/07/2021;11;0.206;R
ES0031300000000001EX;15/07/2021;12;0.12;R
ES0031300000000001EX;15/07/2021;13;0.09;R
ES0031300000000001EX;15/07/2021;14;0.14;R
ES0031300000000001EX;15/07/2021;15;0.16;R
ES0031300000000001EX;15/07/2021;16;0.214;R
ES0031300000000001EX;15/07/2021;17;0.113;R
ES0031300000000001EX;15/07/2021;18;0.083;R
ES0031300000000001EX;15/07/2021;19;0.069;R
ES0031300000000001EX;15/07/2021;20;0.067;R
ES0031300000000001EX;15/07/2021;21;0.086;R
ES0031300000000001EX;15/07/2021;22;0.157;R
ES0031300000000001EX;15/07/2021;23;0.203;R
ES0031300000000001EX;15/07/2021;24;0.219;R
ES0031300000000001EX;16/07/2021;1;0.124;R
ES0031300000000001EX;16/07/2021;2;0.069;R
