id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.78;2021-06-05T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.93;2021-06-05T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.58;2021-06-05T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;107.01;2021-06-05T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.82;2021-06-05T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;100.25;2021-06-05T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;98.99;2021-06-05T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;98.59;2021-06-05T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;99.19;2021-06-05T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;99.66;2021-06-05T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;107.3;2021-06-05T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;110.92;2021-06-05T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.3;2021-06-05T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;107.22;2021-06-05T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;112.11;2021-06-06T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.84;2021-06-06T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.54;2021-06-06T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.78;2021-06-06T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;99.5;2021-06-06T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;100.33;2021-06-06T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;100.26;2021-06-06T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;99.05;2021-06-06T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;96.06;2021-06-06T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;93.35;2021-06-06T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;88.87;2021-06-06T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;88.64;2021-06-06T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;88.4;2021-06-06T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;88.51;2021-06-06T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;87.8;2021-06-06T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;77.55;2021-06-06T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;61.5;2021-06-06T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;78.33;2021-06-06T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;86.47;2021-06-06T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;95.48;2021-06-06T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.19;2021-06-06T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;112.65;2021-06-06T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.14;2021-06-06T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.76;2021-06-06T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;105.31;2021-06-07T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;94.58;2021-06-07T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;94.41;2021-06-07T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;95.28;2021-06-07T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;95.47;2021-06-07T04:00:00+02:00
